OrderID,Date,Region,Category,UnitsSold,UnitPrice,Revenue,Discount,NetRevenue
2138,2023-01-01,West,Groceries,6,68.45,410.7,0.0,410.7
1756,2023-01-01,West,Sports,5,466.87,2334.35,0.05,2217.63
1980,2023-01-01,East,Groceries,13,92.01,1196.13,0.0,1196.13
1649,2023-01-01,East,Groceries,12,256.54,3078.48,0.2,2462.78
2978,2023-01-01,North,Furniture,1,495.54,495.54,0.0,495.54
1269,2023-01-02,South,Clothing,1,378.12,378.12,0.05,359.21
1213,2023-01-02,East,Groceries,7,138.36,968.52,0.0,968.52
2802,2023-01-02,North,Electronics,5,338.63,1693.15,0.0,1693.15
1069,2023-01-02,West,Clothing,7,388.67,2720.69,0.0,2720.69
2916,2023-01-02,North,Sports,12,492.55,5910.6,0.05,5615.07
2493,2023-01-03,North,Groceries,11,357.08,3927.88,0.0,3927.88
1884,2023-01-03,West,Groceries,14,243.58,3410.12,0.0,3410.12
2551,2023-01-03,North,Furniture,14,303.32,4246.48,0.0,4246.48
2301,2023-01-04,South,Electronics,3,442.45,1327.35,0.0,1327.35
1956,2023-01-04,South,Electronics,14,252.29,3532.06,0.0,3532.06
1834,2023-01-05,East,Sports,5,297.45,1487.25,0.0,1487.25
2025,2023-01-05,North,Clothing,9,383.5,3451.5,0.1,3106.35
1133,2023-01-05,North,Clothing,14,334.08,4677.12,0.05,4443.26
1722,2023-01-05,East,Clothing,12,362.38,4348.56,0.0,4348.56
1421,2023-01-05,West,Electronics,10,176.1,1761.0,0.0,1761.0
1952,2023-01-06,West,Groceries,11,147.42,1621.62,0.0,1621.62
2252,2023-01-07,North,Groceries,10,163.64,1636.4,0.2,1309.12
2835,2023-01-07,North,Electronics,10,471.37,4713.7,0.0,4713.7
1883,2023-01-07,East,Clothing,6,497.32,2983.92,0.0,2983.92
2688,2023-01-07,North,Groceries,7,244.09,1708.63,0.1,1537.77
2619,2023-01-07,North,Furniture,5,465.14,2325.7,0.15,1976.84
1863,2023-01-08,South,Clothing,6,263.26,1579.56,0.15,1342.63
1694,2023-01-08,West,Groceries,5,341.88,1709.4,0.0,1709.4
2228,2023-01-08,North,Clothing,9,422.26,3800.34,0.0,3800.34
1599,2023-01-09,East,Electronics,11,409.96,4509.56,0.0,4509.56
1276,2023-01-09,East,Electronics,6,205.88,1235.28,0.0,1235.28
2819,2023-01-09,East,Groceries,1,110.72,110.72,0.1,99.65
1719,2023-01-10,West,Clothing,4,329.81,1319.24,0.0,1319.24
1990,2023-01-10,North,Groceries,6,116.16,696.96,0.05,662.11
2943,2023-01-10,East,Furniture,3,124.59,373.77,0.0,373.77
2100,2023-01-11,East,Groceries,11,358.38,3942.18,0.0,3942.18
2347,2023-01-11,North,Furniture,10,267.69,2676.9,0.15,2275.37
2779,2023-01-11,East,Electronics,2,164.92,329.84,0.0,329.84
2516,2023-01-11,South,Sports,12,59.27,711.24,0.1,640.12
